"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"tutorial_status_hydration","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state","Hydration indicator in low state",
"tutorial_status_strongRaising","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency","Strong raising tendency",
"tutorial_status_raising","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency","Raising tendency",
"tutorial_status_food","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator","Food indicator",
"tutorial_status_strongDecrease","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency","Strong decrease tendency",
"tutorial_guns2","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.","Ammo is very scarce in DayZ, make every shot count.",
"tutorial_guns3","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.","To fire a gun hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. To use iron sights press <image set=""xbox_buttons"" name=""RB"" />. To switch to scope press <image set=""xbox_buttons"" name=""LB"" />.",
"tutorial_infected1","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.","Infected are vicious and will attack you at first sight. One is a problem, multiple are a death sentence.",
"tutorial_infected2","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.","Infected are best approached with stealth or one at a time. Don't get overwhelmed.",
"tutorial_status_decrease","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency","Decrease tendency",
"tutorial_loot1","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.","Always search every place for valuable loot, it can be the difference between life and death.",
"tutorial_loot2","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.",
"tutorial_melee1","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.","Melee weapons are silent and don't need any ammo. Always carry one.",
"tutorial_title_healthSystem","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM","HEALTH SYSTEM",
"tutorial_title_melee","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE","MELEE",
"tutorial_melee2","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.","Many items can be used as melee weapons, get creative.",
"tutorial_melee3","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.","For normal hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""RT"" />. For heavy hit hold <image set=""xbox_buttons"" name=""LT"" /> and press <image set=""xbox_buttons"" name=""Y"" />.",
"tutorial_title_infected","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED","INFECTED",
"tutorial_title_loot","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT","LOOT",
"tutorial_title_guns","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS","GUNS",
"str_onlineinfo_onlinetextwidget0","ONLINE","ONLINE","ONLINE","ONLINE","ОНЛАЙН","ONLINE","ONLINE","ONLINE","ONLINE","EN LIGNE","ONLINE","ONLINE",
"str_widget_textwidget00","HANDS EMPTY","HANDS EMPTY","PRÁZDNÉ RUCE","HÄNDE FREI","ПУСТО","HANDS EMPTY","HANDS EMPTY","MANI VUOTE","MANOS VACÍAS","MAINS VIDES","HANDS EMPTY","HANDS EMPTY",
"str_wgt_pnl_load_mission_wgt_missions_main_panel_wgt_pnl_missions_wgt_btn_mission_play0","Play Mission","Play Mission","Hrát misi","Mission spielen","Запустить задание","Play Mission","Play Mission","Gioca missione","Jugar la misión","Jouer la mission","Play Mission","Play Mission",
"str_wgt_pnl_load_mission_wgt_missions_main_panel_wgt_missions_panel_title_bgt_missions_title0","Mission Loader","Mission Loader","Načítač mise","Mission laden","Загрузка задания","Mission Loader","Mission Loader","Caricatore missione","Buscador de misiones","Chargement mission","Mission Loader","Mission Loader",
"str_wgt_pnl_load_mission_wgt_missions_main_panel_wgt_btn_mission_close0","Close","Close","Zavřít","Schließen","Закрыть","Close","Close","Chiudi","Cerrar","Fermer","Close","Close",
"str_titlescreenlayout_text0","Please reconnect and press","Please reconnect and press","Znovu se připoj a stiskni","Bitte verbinde dich erneut und drücke","Пожалуйста, подключите геймпад и нажмите","Please reconnect and press","Please reconnect and press","Riconnetti e premi","Vuelve a conectarlo y pulsa","Veuillez vous reconnecter et appuyer sur","Please reconnect and press","Please reconnect and press",
"str_titlescreenlayout_inputprompttext0","Press Button","Press Button","Stiskni tlačítko","Drücke Taste","Нажмите кнопку","Press Button","Press Button","Premi pulsante","Pulsa el botón","Appuyer sur la touche","Press Button","Press Button",
"str_titlescreenlayout_caption0","CONTROLLER DISCONNECTED","CONTROLLER DISCONNECTED","OVLADAČ ODPOJEN","CONTROLLER GETRENNT","ГЕЙМПАД ОТКЛЮЧЕН","CONTROLLER DISCONNECTED","CONTROLLER DISCONNECTED","CONTROLLER DISCONNESSO","MANDO DESCONECTADO","MANETTE DÉCONNECTÉE","CONTROLLER DISCONNECTED","CONTROLLER DISCONNECTED",
"str_tileframe_textwidget0","Loading text...","Loading text...","Načítání textu...","Text laden …","Загрузка текста...","Loading text...","Loading text...","Caricamento testo...","Cargando texto...","Chargement du texte...","Loading text...","Loading text...",
"str_textinputdialogroot_windowlabel0","LABEL","LABEL","JMENOVKA","MARKIERUNG","МЕТКА","LABEL","LABEL","ETICHETTA","ETIQUETA","ÉTIQUETTE","LABEL","LABEL",
"str_textinputdialogroot_secondarylabel0","Secondary:","Secondary:","Sekundární:","Sekundär:","Дополнительная:","Secondary:","Secondary:","Secondaria:","Secundaria:","Secondaire :","Secondary:","Secondary:",
"str_textinputdialogroot_primarylabel0","Primary:","Primary:","Primární:","Primär:","Основная:","Primary:","Primary:","Primaria:","Principal:","Primaire :","Primary:","Primary:",
"str_textinputdialogroot_messagetext0","Dialog text","Dialog text","Dialogový text","Dialogtext","Текст диалогового окна","Dialog text","Dialog text","Testo finestra dialogo","Texto de diálogos","Dialogue","Dialog text","Dialog text",
"str_textinputdialogroot_buttonleave0","Leave","Leave","Odejít","Verlassen","Покинуть","Leave","Leave","Abbandona","Salir","Quitter","Leave","Leave",
"layout_logout_dialog_text","text","text","text","Text","текст","text","text","testo","texto","texte","text","text",
"layout_notification_info_warning","WARNING","WARNING","UPOZORNĚNÍ","WARNUNG","ПРЕДУПРЕЖДЕНИЕ","WARNING","WARNING","AVVISO","AVISO","ATTENTION","WARNING","WARNING",
"layout_logout_dialog_until_logout","Seconds until logout","Seconds until logout","Vteřin do odpojení","Sekunden bis Logout","Секунд(ы) до отключения","Seconds until logout","Seconds until logout","Secondi alla chiusura della sessione","Segundos para que se cierre sesión","Secondes avant déconnexion","Seconds until logout","Seconds until logout",
"layout_license_dialog_cation","CAPTION","CAPTION","POPISEK","UNTERTITEL","CAPTION","CAPTION","CAPTION","DIDASCALIA","SUBTÍTULOS","CAPTION","CAPTION","CAPTION",
"layout_license_dialog_text","TEXT","TEXT","TEXT","TEXT","ТЕКСТ","TEXT","TEXT","TESTO","TEXTO","TEXTE","TEXT","TEXT",
"layout_loading_loadingtext","Loading text...","Loading text...","Načítání textu...","Text laden …","Загрузка текста...","Loading text...","Loading text...","Caricamento testo...","Cargando texto...","Chargement du texte...","Loading text...","Loading text...",
"dayz_game_seconds","seconds","seconds","sekundy","Sekunden","секунд(ы)","seconds","seconds","secondi","segundos","seconde(s)","seconds","seconds",
"layout_dialog_title","DIALOG TITLE","DIALOG TITLE","NÁZEV DIALOGU","DIALOGTITEL","ЗАГОЛОВОК ДИАЛОГОВОГО ОКНА","DIALOG TITLE","DIALOG TITLE","TITOLO FINESTRA DI DIALOGO","TÍTULO DE DIÁLOGO","TITRE DIALOGUE","DIALOG TITLE","DIALOG TITLE",
"layout_vehiclepanel_speed","km/h","km/h","km/h","km/h","км/ч","km/h","km/h","km/h","km/h","km/h","km/h","km/h",
"layout_vehiclepanel_rpm","rpm","rpm","ot/min","rpm","об/мин","rpm","rpm","giri/min","rpm","tr/min","rpm","rpm",
"layout_hud_action_target_continuous","Continuous action","Continuous action","Průběžná akce","Fortlaufende Aktion","Повторяющееся действие","Continuous action","Continuous action","Azione continua","Acción continua","Action continue","Continuous action","Continuous action",
"layout_hud_description_down","desc down","desc down","desc down","desc down","desc down","desc down","desc down","desc down","desc down","desc down","desc down","desc down",
"layout_hud_description","Description","Description","Popis","Beschreibung","Описание","Description","Description","Descrizione","Descripción","Description","Description","Description",
"layout_hud_description_up","desc up","desc up","desc up","desc up","desc up","desc up","desc up","desc up","subir","desc up","desc up","desc up",
"layout_hud_action_target_single","Single action","Single action","Jednotlivá akce","Einmalige Aktion","Однократное действие","Single action","Single action","Azione singola","Acción única","Action unique","Single action","Single action",
"layout_hud_action_single","Single action","Single action","Jednotlivá akce","Einmalige Aktion","Однократное действие","Single action","Single action","Azione singola","Acción única","Action unique","Single action","Single action",
"layout_hud_action_target_description","Description","Description","Popis","Beschreibung","Описание","Description","Description","Descrizione","Descripción","Description","Description","Description",
"layout_hud_action_target_interact","Interact action","Interact action","Interakce","Interaktion","Взаимодействие","Interact action","Interact action","Azione interazione","Acción de interacción","Interaction","Interact action","Interact action",
"ayout_xbox_hud_text_info","If you die, you will lose everything","If you die, you will lose everything","Jestli zemřeš, přijdeš o všechno.","Wenn du stirbst, verlierst du alles","Если вы умрете, то потеряете все","If you die, you will lose everything","If you die, you will lose everything","Se muori, perderai tutto","Si mueres, lo perderás todo.","Si vous mourez, vous perdez tout.","If you die, you will lose everything","If you die, you will lose everything",
"layout_hud_action_continuous","Continuous action","Continuous action","Průběžná akce","Fortlaufende Aktion","Повторяющееся действие","Continuous action","Continuous action","Azione continua","Acción continua","Action continue","Continuous action","Continuous action",
"action_target_cursor_hold","[HOLD]","[HOLD]","[DRŽET]","[HALTEN]","[УДЕРЖИВАЙТЕ]","[HOLD]","[HOLD]","[TIENI PREMUTO]","[MANTÉN]","[MAINTENIR]","[HOLD]","[HOLD]",
"layout_day_z_book_next","Next","Next","Další","Nächste","Далее","Next","Next","Succ","Siguiente","Suiv.","Next","Next",
